"sentence","startTime","endTime","speaker_id","speaker_name"
"É verdade.","00:00","00:01",0,"Rodrigo Faerman"
"E aí foi legal porque a gente começou uma troca de revisitar todo o...","00:01","00:04",1,"Marseau"
"Meio que o branding dela, né?","00:04","00:06",1,"Marseau"
"Como que ela se posiciona.","00:06","00:08",1,"Marseau"
"Obrigado.","00:08","00:09",0,"Rodrigo Faerman"
"Peguei uma garrafa de...","00:09","00:10",0,"Rodrigo Faerman"
"Quer água com gás?","00:10","00:11",0,"Rodrigo Faerman"
"Eu vou se tomar com gás.","00:11","00:12",1,"Marseau"
"Então pega outro copinho, daí a gente divide aqui.","00:12","00:15",0,"Rodrigo Faerman"
"Quer pedir alguma coisa?","00:15","00:16",0,"Rodrigo Faerman"
"Já ia pedir?","00:16","00:17",0,"Rodrigo Faerman"
"Não, não sei como é que você tá de tempo, eu tô...","00:17","00:19",1,"Marseau"
"Cara, eu.","00:19","00:19",1,"Marseau"
"Tenho até 1,15, 1,20 assim, tá de boa.","00:19","00:24",0,"Rodrigo Faerman"
"Não, temos uma hora e pouquinho abundante.","00:24","00:27",0,"Rodrigo Faerman"
"Boa.","00:27","00:27",1,"Marseau"
"Eu tô com cliente da Itália, e daí os seus horários, eles são meio chatos, porque eles estão assim, embora...","00:28","00:35",0,"Rodrigo Faerman"
"Exato.","00:35","00:35",0,"Rodrigo Faerman"
"Então...","00:35","00:37",0,"Rodrigo Faerman"
"É...","00:37","00:38",0,"Rodrigo Faerman"
"Cara, eles têm, eles têm de tudo.","00:38","00:42",0,"Rodrigo Faerman"
"Eles têm prato executivo, que daí tem o de carne, daí tem o de peixe, tem o de frango, super...","00:42","00:49",0,"Rodrigo Faerman"
"Legal!","00:49","00:51",0,"Rodrigo Faerman"
"servido ok, nota sete e meia, depende de quanta fome, mas se você de repente quiser pedir peixe a gente pode pegar para duas pessoas e dividir, daí tu me diz.","00:51","01:03",0,"Rodrigo Faerman"
"Os executivos eles são legais também.","01:03","01:07",0,"Rodrigo Faerman"
"Como eu vou comer carne à noite, eu comprometi pegar peixinho.","01:07","01:10",0,"Rodrigo Faerman"
"Eu troco peixinho se você quiser dividir.","01:10","01:12",1,"Marseau"
"Quer?","01:12","01:12",0,"Rodrigo Faerman"
"Pode dividir esses dois.","01:12","01:15",0,"Rodrigo Faerman"
"pescado, tu escolhe, eu estou de boa de tudo.","01:17","01:23",0,"Rodrigo Faerman"
"Enxuva, taim, é bom, ele é, tu conhece né, o roxinho da taim.","01:23","01:30",0,"Rodrigo Faerman"
"Conheço, conheço.","01:30","01:32",0,"Rodrigo Faerman"
"Eu sou mais fã daqueles peixes que não tem o tanto doce de mara, sabe.","01:32","01:36",1,"Marseau"
"Então tem algum que te apetece?","01:36","01:38",0,"Rodrigo Faerman"
"Cara, a enxuva melusa eu achei boa, a enxuva eu gosto também.","01:38","01:41",1,"Marseau"
"Escolhe, escolhe, quer melusa, vamos com melusa.","01:41","01:43",0,"Rodrigo Faerman"
"Vamos de melusa então.","01:43","01:44",1,"Marseau"
"Tá bom.","01:44","01:44",0,"Rodrigo Faerman"
"Mestre!","01:45","01:48",0,"Rodrigo Faerman"
"A gente vai dividir a merluza.","01:49","01:56",0,"Rodrigo Faerman"
"Ou merluza, ou merluza.","01:56","01:58",0,"Rodrigo Faerman"
"Cara, a merluza não vai ter só anchovinha ou pechadinha.","01:58","02:01",0,"Rodrigo Faerman"
"senão tem?","02:01","02:02",0,"Rodrigo Faerman"
"É.","02:02","02:03",0,"Rodrigo Faerman"
"Qual que tem menos luz de mar da pescadinha ou enxuga?","02:03","02:06",1,"Marseau"
"A pescadinha é mais suave.","02:06","02:07",0,"Rodrigo Faerman"
"Então vamos na pescadinha então.","02:07","02:09",1,"Marseau"
"Bem servida, né?","02:09","02:10",0,"Rodrigo Faerman"
"Sim.","02:10","02:10",0,"Rodrigo Faerman"
"Esse meio platinho pra dois ali, né?","02:10","02:12",0,"Rodrigo Faerman"
"É.","02:12","02:13",0,"Rodrigo Faerman"
"É mais do que se a gente pedir dois executivo dele, né?","02:13","02:16",0,"Rodrigo Faerman"
"Tá.","02:16","02:17",0,"Rodrigo Faerman"
"E proteínas?","02:17","02:19",0,"Rodrigo Faerman"
"E proteína.","02:19","02:20",0,"Rodrigo Faerman"
"Aí pode ser grelhado ou milanesa?","02:20","02:23",0,"Rodrigo Faerman"
"A gente tanto faz o que você prefere.","02:23","02:25",1,"Marseau"
"Pode escolher.","02:25","02:27",0,"Rodrigo Faerman"
"Vou milanesa então.","02:27","02:28",1,"Marseau"
"Milanesa?","02:28","02:28",0,"Rodrigo Faerman"
"Milanesa.","02:28","02:29",1,"Marseau"
"É isso, meu amigo.","02:33","02:35",0,"Rodrigo Faerman"
"Qual que é o teu nome?","02:35","02:38",0,"Rodrigo Faerman"
"Mário.","02:38","02:38",1,"Marseau"
"Obrigado, Mário.","02:38","02:40",0,"Rodrigo Faerman"
"De nada.","02:40","02:40",0,"Rodrigo Faerman"
"Obrigado.","02:40","02:41",1,"Marseau"
