"sentence","startTime","endTime","speaker_id","speaker_name"
"É...","00:00","00:02",0,"speaker 1"
"Que dia é que é hoje?","00:02","00:04",0,"speaker 1"
"20.","00:04","00:05",0,"speaker 1"
"Dia 20 aqui no Café Cultura.","00:05","00:10",0,"speaker 1"
"Iniciando aqui as conversas com a Sarah e com o Marçon.","00:10","00:16",0,"speaker 1"
"E bora lá.","00:16","00:19",0,"speaker 1"
"Fiz uma introduçãozinha aqui.","00:19","00:20",0,"speaker 1"
"Não gravei, devia ter gravado.","00:20","00:23",0,"speaker 1"
"Então, como você chega aqui hoje?","00:23","00:26",0,"speaker 1"
"Eu tô pouco ansiosa, Rodrigo.","00:27","00:30",1,"speaker 2"
"Eu imagino que a gente tá passando agora por uma fase financeira, então mais delicada, né?","00:30","00:35",1,"speaker 2"
"E tudo, é investimento em energia alta pra gente, né?","00:35","00:39",1,"speaker 2"
"Eu acho que a gente já deve ter mencionado que a gente tem produto, né?","00:39","00:43",1,"speaker 2"
"Como a minha parte já está pronta, eu acho que facilita mais ele ficar nessa parte de trás, ele me ajudando e eu realmente dar a cara pra fazer o negócio acontecer.","00:43","00:55",1,"speaker 2"
"Eu amo o que eu faço.","00:55","00:56",0,"speaker 1"
"Eu tenho prazer em ajudar pessoas.","00:56","00:59",2,"speaker 3"
"O que você faz?","00:59","01:01",0,"speaker 1"
"Eu trabalho com desenvolvimento pessoal.","01:01","01:04",1,"speaker 2"
"A palavra técnica que a gente estava usando antes era neurociência aplicada à consultoria.","01:04","01:11",1,"speaker 2"
"Então, o que é vencer com isso aí?","01:12","01:16",1,"speaker 2"
"Eu trabalho com cima de assessments, pra saber como é que tá o emocional e a positividade da pessoa.","01:16","01:22",1,"speaker 2"
"Pra saber o que tá sabotando ela de seguir em frente e de não conseguir vencer os próprios caminhos dela.","01:22","01:30",1,"speaker 2"
"O que tá travando ela.","01:30","01:31",1,"speaker 2"
"Então eu ajudo nessa fase do desbloqueio.","01:32","01:35",1,"speaker 2"
"Como é que acontece o meu atendimento?","01:35","01:36",1,"speaker 2"
"O que eu sinto?","01:36","01:37",1,"speaker 2"
"Agora vamos entrar para o mar das espiritualidades, não sei se você acredita nisso.","01:37","01:40",1,"speaker 2"
"Cada cliente que eu atendo é como se eu mergulhasse, se realmente ele está aqui.","01:40","01:47",1,"speaker 2"
"Quando eu vejo o teste de positividade, está todo mundo sempre muito baixo.","01:47","01:52",1,"speaker 2"
"Ele vai de zero a 100.","01:52","01:53",1,"speaker 2"
"A gente faz essa medição durante 24 horas, para ver em qual numeração a pessoa está.","01:53","01:59",1,"speaker 2"
"De 0 a 100, geralmente está sempre abaixo de 40 pontos.","02:00","02:08",1,"speaker 2"
"O que eu sinto que eu faço nisso?","02:08","02:11",1,"speaker 2"
"É uma coisa viageminha, mas que tem super sentido.","02:11","02:15",1,"speaker 2"
"Como a minha positividade está diferente, eu acho que o meu estado de consciência hoje está diferente do que era no passado.","02:15","02:23",1,"speaker 2"
"Eu sinto que a pessoa está aqui.","02:23","02:27",1,"speaker 2"
"É como se eu fizesse mergulho até onde a pessoa está, nesse 40, eu engatasse nela, segurasse as mãos dela, pra quê?","02:29","02:42",2,"speaker 3"
"Pra que ela eleve esse estado de consciência que ela se encontra hoje.","02:42","02:46",2,"speaker 3"
"Porque ela tá totalmente incoerente com ela, totalmente inconsciente, ela tá totalmente desconectada.","02:46","02:51",2,"speaker 3"
"Então eu sinto que eu faço isso, esse resgate com a pessoa, eu chego ela, eu seguro as mãos dela e tento elevar ela ao máximo que eu consigo, degrau por degrau.","02:51","02:59",2,"speaker 3"
"Sim, que eu me prejudico, eu já me prejudiquei muito emocionalmente, descer até onde a pessoa e não conseguir sair daquela vibração, demorasse pouco.","02:59","03:10",2,"speaker 3"
"Hoje eu sei o que eu faço e eu consigo, a cada sentimento eu saio muito feliz.","03:10","03:17",2,"speaker 3"
"Você eleva essa...","03:17","03:20",0,"speaker 1"
"você consegue elevar esse número, essa pontuação?","03:20","03:23",0,"speaker 1"
"Ou você potencializa que ela eleve?","03:23","03:28",0,"speaker 1"
"Eu potencializo que ela eleve.","03:28","03:29",2,"speaker 3"
"Tá, eu sei.","03:29","03:30",0,"speaker 1"
"Eu já sabia a resposta, mas eu tô te...","03:30","03:32",0,"speaker 1"
"porque aí, em questão de posicionamento, a gente...","03:32","03:38",0,"speaker 1"
"é bem interessante e eu não tô falando que é errado.","03:38","03:42",0,"speaker 1"
"Mas depende...","03:42","03:44",0,"speaker 1"
"isso...","03:44","03:44",0,"speaker 1"
"Obrigada.","03:47","03:50",0,"speaker 1"
"Dentro do teu papel e dentro daquilo que a gente tá querendo entrar, que é também no posicionamento, tem muita gente quer salvador, tem muita gente...","03:52","04:08",0,"speaker 1"
"mas isso dá pra diferenciar, tá?","04:08","04:10",2,"speaker 3"
"Óbvio que dá, mas eu tô falando na questão do posicionamento.","04:10","04:15",0,"speaker 1"
"Se você traz a tua metodologia e vai mostrar caminhos, e daí a gente convida a pessoa pra embarcar nessa jornada, onde vai ter todo o suporte, vai ter maravilha, mas é limiar, eu conheço bem o que eu tô falando, de uma terapia, de trabalho de terapeuta, onde eu entro ali numa questão às vezes mais profunda e é a pessoa aí, adivinha o feedback que deu?","04:16","04:43",0,"speaker 1"
"Ela me salvou porque ela não sei o que e ela me disse o que fazer Eu tenho muita experiência com os dois caminhos E aí você tem uma escolha a ser feita Eu sei já qual é a tua escolha Mas aí a gente tem que traduzir isso na comunicação Entendi E o que eu faço?","04:43","05:04",0,"speaker 1"
"Eu entro no passado, sim Mas eu não mexo no passado Eu só entro no passado pra entender o porquê que aquela pessoa tá daquele jeito Se o índice de positividade dela tá muito baixo, eu não atendo sozinha.","05:04","05:18",2,"speaker 3"
"Eu pergunto pra ela, você tá fazendo trabalho terapêutico, muitas vezes psiquiátrica, que algumas pessoas precisam realmente tomar fármaco.","05:18","05:26",2,"speaker 3"
"Então, se tá muito baixo e eu vejo que a pessoa não tá conseguindo se elevar, eu falo, ó, eu suspendo pra que ela procure ajuda, pra que ela melhore passado e presente.","05:26","05:37",2,"speaker 3"
"Porque o meu trabalho é presente e futuro.","05:37","05:40",2,"speaker 3"
"Já tem louros aí que depois a gente vai...","05:41","05:45",0,"speaker 1"
"Vamos dar uma brincada com isso.","05:45","05:48",0,"speaker 1"
"Mas vamos então...","05:48","05:50",0,"speaker 1"
"Se eu te pedir, digamos que eu chego aqui, Elevator Pitch.","05:50","05:55",0,"speaker 1"
"Não te conheço.","05:55","05:56",0,"speaker 1"
"E a gente não tem...","05:56","05:59",0,"speaker 1"
"A gente não apertou todos os andares do elevador pra você me falar toda uma história.","05:59","06:04",0,"speaker 1"
"Quem é a Sarah?","06:04","06:05",0,"speaker 1"
"Em 30 segundos.","06:05","06:07",0,"speaker 1"
"eu sou uma mulher extremamente resiliente.","06:07","06:10",2,"speaker 3"
"A Sara, né?","06:10","06:12",2,"speaker 3"
"A Sara?","06:12","06:13",2,"speaker 3"
"A Sara.","06:13","06:13",0,"speaker 1"
"Eu não quero falar da profissional.","06:13","06:15",2,"speaker 3"
"A profissional é uma coisa...","06:15","06:17",2,"speaker 3"
"Claro, porque.","06:17","06:17",2,"speaker 3"
"A sua profissional não tem nada a ver com você, né?","06:17","06:20",0,"speaker 1"
"Ela é totalmente isolada.","06:20","06:23",0,"speaker 1"
"A profissional você não é.","06:23","06:26",0,"speaker 1"
"Não tem nada do teu pessoal que.","06:26","06:27",0,"speaker 1"
"Conecta com o profissional.","06:27","06:28",2,"speaker 3"
"Não tem?","06:28","06:29",0,"speaker 1"
"Não.","06:29","06:30",2,"speaker 3"
"Tem, tem.","06:30","06:31",2,"speaker 3"
"Eu acho que o que eu faço hoje, na minha vida, se conecta com.","06:31","06:36",2,"speaker 3"
"O que eu faço...","06:36","06:38",0,"speaker 1"
"Foi uma pergunta pegadinha também.","06:38","06:40",0,"speaker 1"
"Porque quando você falou que isola, não isola.","06:40","06:43",0,"speaker 1"
"É, mas o que eu faço hoje se conecta muito com a minha vida do passado, com a minha infância.","06:43","06:49",2,"speaker 3"
"Maravilha.","06:49","06:50",0,"speaker 1"
"100%.","06:50","06:50",2,"speaker 3"
"Maravilha.","06:50","06:52",0,"speaker 1"
"Então, acredito que talvez eu tenha até buscado isso inconscientemente pelo que eu passei.","06:52","06:57",2,"speaker 3"
"Mas olha que legal.","06:57","06:59",0,"speaker 1"
"O teu profissional tem a ver com o teu passado.","06:59","07:04",0,"speaker 1"
"Pessoal.","07:04","07:05",0,"speaker 1"
"Se eu tenho duas pessoas, uma que estudou pra caramba, Estudou?","07:05","07:11",0,"speaker 1"
"Nunca passou por aquilo que eu passei.","07:11","07:13",0,"speaker 1"
"Está ali.","07:13","07:14",0,"speaker 1"
"E uma que vivenciou aquilo que eu passei, que está trabalhando com isso, não só ela conhece os aspectos técnicos do conhecimento, mas ela tem a vivência.","07:14","07:26",0,"speaker 1"
"Qual eu escolho?","07:26","07:27",0,"speaker 1"
"que vai se conectar mais contigo é essa aqui.","07:28","07:30",2,"speaker 3"
"Tá, então não me vem colorosa de falar, porque eu, a minha pessoal, eu sou a Sarah e o meu profissional ficou lá fora.","07:30","07:37",0,"speaker 1"
"Não ficou?","07:37","07:38",0,"speaker 1"
"Não.","07:38","07:38",0,"speaker 1"
"Aliás, esse é lugar de...","07:38","07:40",0,"speaker 1"
"Muito bom.","07:40","07:41",0,"speaker 1"
"Já é conteúdo, tá?","07:41","07:43",0,"speaker 1"
"Eu só tô criando uma historinha aqui que se você começar a entender e se apropriar dessa história, a tua narrativa, o teu storytelling, inclusive, se empodera.","07:43","07:53",0,"speaker 1"
"Sim.","07:53","07:54",2,"speaker 3"
"Se empodera.","07:54","07:55",0,"speaker 1"
"Porque uma coisa é, vem aqui porque eu tenho a formação de Harvard.","07:55","07:59",0,"speaker 1"
"Maravilha.","07:59","08:01",0,"speaker 1"
"Olha só, eu tenho formação de Harvard e tenho 20 anos de estudo.","08:01","08:08",0,"speaker 1"
"Mas sabe o que faz a diferença no meu atendimento?","08:08","08:11",0,"speaker 1"
"Eu já vivi isso que você tá bebendo.","08:11","08:14",0,"speaker 1"
"Bom, muda.","08:14","08:15",0,"speaker 1"
"Totalmente.","08:15","08:16",2,"speaker 3"
"Entende?","08:16","08:17",0,"speaker 1"
"Então, o meu convite...","08:17","08:18",0,"speaker 1"
"Dá mais legibilidade.","08:18","08:20",0,"speaker 1"
"A gente vai começar a se aprofundar e isso aqui não era pra gente entrar em conteúdo, isso aqui era pra gente se conhecer.","08:20","08:25",0,"speaker 1"
"É só pra você entender que tem caminhos que a gente vai explorar.","08:26","08:32",0,"speaker 1"
"Vão dar certo?","08:32","08:34",0,"speaker 1"
"Não sei.","08:34","08:35",0,"speaker 1"
"Zero garantia.","08:35","08:36",0,"speaker 1"
"Eu dou zero garantia.","08:36","08:38",0,"speaker 1"
"O que a gente vai fazer?","08:38","08:39",0,"speaker 1"
"É testar.","08:39","08:40",0,"speaker 1"
"A gente entra num modelo que eu até conversei.","08:40","08:43",0,"speaker 1"
"MVP.","08:43","08:44",0,"speaker 1"
"Minimo...","08:44","08:45",0,"speaker 1"
"Sabe o que é MVP?","08:45","08:46",0,"speaker 1"
"Não.","08:46","08:46",0,"speaker 1"
"Tá.","08:46","08:47",0,"speaker 1"
"Tu sabe.","08:47","08:49",0,"speaker 1"
"Tá.","08:49","08:49",0,"speaker 1"
"A gente até falou de skate.","08:49","08:51",0,"speaker 1"
"O inglês se chama Minimum Viable Product.","08:51","08:55",0,"speaker 1"
"Produto mínimo viável.","08:55","08:56",0,"speaker 1"
"Que raios é isso?","08:56","08:58",0,"speaker 1"
"Vou dar aquele exemplo que eu dei pra você.","08:58","09:01",0,"speaker 1"
"Digamos que eu queira...","09:01","09:03",0,"speaker 1"
"Cara, eu sempre tive o sonho de ter carro, eu vou montar carro, eu.","09:03","09:09",0,"speaker 1"
"Rodrigo, quanto tempo demora pra eu montar carro?","09:09","09:12",0,"speaker 1"
"Do zero.","09:12","09:13",0,"speaker 1"
"Nunca montei carro.","09:13","09:15",0,"speaker 1"
"Nunca construi carro.","09:15","09:17",0,"speaker 1"
"Nossa, não tem nem ideia.","09:17","09:18",2,"speaker 3"
"ano, dois anos?","09:18","09:20",0,"speaker 1"
"Mas aí a gente começa a entender calma.","09:20","09:22",0,"speaker 1"
"Antes de montar o carro, deixa eu fazer uma pergunta.","09:22","09:25",0,"speaker 1"
"Pra que serve o carro?","09:25","09:27",0,"speaker 1"
"Pra que serve carro?","09:27","09:29",0,"speaker 1"
"Pra locomover.","09:29","09:30",2,"speaker 3"
"Tem várias razões.","09:30","09:32",0,"speaker 1"
"Se você pegar uma Ferrari, talvez seja a posse, ilútil.","09:32","09:36",0,"speaker 1"
"Mas normalmente é pra levar do ponto A ao ponto B.","09:36","09:39",0,"speaker 1"
"Exato.","09:39","09:40",2,"speaker 3"
"Esse é o propósito do carro, levado ponto A ao ponto B.","09:40","09:43",0,"speaker 1"
"Então eu posso passar ano, dois anos, pensando em como construir carro.","09:43","09:47",0,"speaker 1"
"Ou eu posso falar assim, qual que é o propósito do carro, levado ponto A ao ponto B.","09:47","09:51",0,"speaker 1"
"Tá, o que eu consigo fazer da forma mais rápida, não é perfeita?","09:51","09:55",0,"speaker 1"
"Hoje, sem ser caminhar, andar, o que eu posso fazer que leva bem menos tempo pra eu construir e vai suprir esse propósito levado ponto A ao ponto B?","09:55","10:06",0,"speaker 1"
"Chuta uma coisa.","10:06","10:07",0,"speaker 1"
"Uma bicicleta?","10:08","10:09",0,"speaker 1"
"skate?","10:09","10:09",0,"speaker 1"
