"sentence","startTime","endTime","speaker_id","speaker_name"
"Eu acho que dá pouco de nervoso, eu acho que por uma questão financeira, não vou dizer que não, mas como eu sou...","00:00","00:07",0,"speaker 1"
"é até dos meus talentos, é o meu principal talento, é a prudência.","00:07","00:12",0,"speaker 1"
"Então, se o Marçot tivesse perguntado pra mim antes, vamos fechar?","00:12","00:16",0,"speaker 1"
"Eu ia falar, ai meu Deus, olha o dinheiro que não sei o que, e agora?","00:16","00:19",0,"speaker 1"
"Mas a gente sabe que é importante.","00:19","00:21",0,"speaker 1"
"Eu cheguei em ponto profissional que eu travei para vender.","00:21","00:25",0,"speaker 1"
"Não estava tendo coragem para aumentar o meu valor e eu sabia que realmente estava muito barato.","00:25","00:32",0,"speaker 1"
"Então, tem umas modulações que eu preciso fazer para agora poder evoluir de uma forma diferente.","00:32","00:39",0,"speaker 1"
"E para isso precisa de ajuda, precisa de investimento.","00:39","00:42",0,"speaker 1"
"E acho que até uma...","00:42","00:43",1,"speaker 2"
"Aí falando pouco como o esposo da Sarah que está acompanhando ela, mais de perto desde quando ela foi morar comigo em São Paulo e aí ela veio com toda a bagagem de consultoria de imagem e esse trabalho foi se moldando com o tempo.","00:43","00:59",1,"speaker 2"
"Até as coisas engrenarem, ela sempre gostou de trabalhar e fazer dinheiro, ver o dinheiro dela entrar.","00:59","01:06",1,"speaker 2"
"Por mais que estava numa condição legal, a XP estava me pagando o salário e tal, ela não queria ser a pessoa que estava sendo bancada, sendo bem transparente.","01:07","01:15",1,"speaker 2"
"Não é esse o perfil dela.","01:15","01:17",1,"speaker 2"
"Ela queria começar a fazer o negócio acontecer.","01:17","01:20",1,"speaker 2"
"E aí isso foi culminando de ter o espaço dela.","01:20","01:23",1,"speaker 2"
"Como ela não teve muito cliente em consultoria de imagem, deu espaço para ela aprimorar.","01:23","01:28",1,"speaker 2"
"Foi estudar.","01:28","01:30",1,"speaker 2"
"Então, pós-graduação dela de mediação, veio tudo nesse período.","01:30","01:34",1,"speaker 2"
"que aí ela foi trabalhando outros conhecimentos e aí ela reformulou a metodologia dela e aí hoje ela nem se posiciona mais como consultora de imagem apesar de ter esse conteúdo.","01:35","01:44",1,"speaker 2"
"Mas...","01:44","01:45",1,"speaker 2"
"Quando a gente veio pra cá, essa de vamos tirar sabate ou como é que vai ser e tal, ela também já tinha uma expectativa de que ela ia chegar aqui e as coisas iam fluir mais do que estavam fluindo em São Paulo e, naturalmente, as coisas acabaram dando uma travadinha aqui ou ali e tal.","01:46","01:59",1,"speaker 2"
"Então, ontem quando a gente conversou sobre isso, eu senti que ela estava muito angustiada e muito...","01:59","02:07",1,"speaker 2"
"aflita com a questão do financeiro mesmo e eu falei, na semana passada a gente tomou uma decisão de fazer investimento para a gente fazer o negócio destravar.","02:09","02:20",1,"speaker 2"
"Então estou junto com você nessa, não estou olhando mais nenhuma oportunidade de trabalho, eu encerrei todas as coisas que eu estava olhando de trabalho para realmente me dedicar para dar esse apoio para ela nesse momento.","02:20","02:32",1,"speaker 2"
"Então, deu uma tranquilizada, por isso que ela falou, chego mais tranquilo.","02:33","02:37",1,"speaker 2"
"Ontem foi momento que a gente teve uma troca bem importante.","02:37","02:41",1,"speaker 2"
"Aí veio o que a gente podia cortar.","02:41","02:44",0,"speaker 1"
"Fazer uma limpa no financeiro de coisas inúteis que a gente estava pagando.","02:44","02:49",0,"speaker 1"
"umas assinaturas...","02:51","02:52",0,"speaker 1"
"Cara, assim, eu comecei.","02:52","02:54",0,"speaker 1"
"A testar várias IAs, só que você não usa várias IAs.","02:54","02:57",1,"speaker 2"
"Então, estava usando mais o GPT do que o Cloud, então fechei o plano do Cloud.","02:57","03:04",1,"speaker 2"
"Quando eu montei o site dela, eu usei o plano do Lovable pouco mais parrudo, eu reduzi para o plano Lite, que eu consigo manter uma série de Então assim, eu fiz algumas adequações de coisas que no mês a mês é o percentual que vai fazer uma diferença, não, mas já ajuda a ter uma mentalidade pouco de adaptar para esse momento que a gente está vivendo.","03:04","03:23",1,"speaker 2"
"E de comida fora, então a gente está trabalhando bem dentro de casa para evitar também de fazer coisas que não tem necessidade agora e se a gente pode fazer tudo dentro de casa.","03:23","03:33",0,"speaker 1"
"E como tu chega aqui hoje?","03:33","03:36",2,"speaker 3"
"Nosso foco vai ser sempre a Sarah, tá?","03:37","03:39",2,"speaker 3"
"Nesse momento eu vou trazer vocês dois, mas assim, eu vou sempre estar empurrando mais coisa pra ela.","03:39","03:45",2,"speaker 3"
"Eu tô vindo muito mais como ouvinte, tá?","03:45","03:47",1,"speaker 2"
"Muito acompanhando mesmo e poder eventualmente ajudar ela.","03:47","03:50",1,"speaker 2"
"É que vai ser importante pra ela, né?","03:50","03:52",2,"speaker 3"
"Então...","03:52","03:53",2,"speaker 3"
"Mas...","03:53","03:54",2,"speaker 3"
